target_id	length	eff_length	est_counts	tpm
TRINITY_DN5676_c0_g1_i4	1074	908.14	0	0
TRINITY_DN5676_c0_g1_i5	1127	961.14	0	0
TRINITY_DN5676_c1_g1_i1	551	385.14	0	0
TRINITY_DN5661_c0_g1_i1	609	443.14	0	0
TRINITY_DN5661_c0_g2_i1	528	362.14	0	0
TRINITY_DN5661_c0_g3_i1	538	372.14	0	0
TRINITY_DN5661_c1_g1_i1	358	196.415	0	0
TRINITY_DN5661_c1_g2_i1	596	430.14	0	0
TRINITY_DN5661_c1_g3_i1	1816	1650.14	0	0
TRINITY_DN5607_c0_g1_i1	699	533.14	0	0
TRINITY_DN5607_c0_g1_i2	645	479.14	0	0
TRINITY_DN5607_c0_g2_i1	331	169.415	0	0
TRINITY_DN5607_c0_g3_i1	410	246.47	0	0
TRINITY_DN5607_c0_g4_i1	1837	1671.14	0	0
TRINITY_DN5607_c0_g5_i1	1784	1618.14	0	0
TRINITY_DN5607_c0_g6_i1	395	231.562	0	0
TRINITY_DN5630_c0_g1_i1	1739	1573.14	0	0
TRINITY_DN5630_c0_g1_i2	691	525.14	0	0
TRINITY_DN5630_c0_g1_i3	1689	1523.14	0	0
TRINITY_DN5630_c0_g1_i4	1747	1581.14	0	0
TRINITY_DN5630_c0_g1_i5	1796	1630.14	0	0
TRINITY_DN5630_c0_g1_i6	1852	1686.14	0	0
TRINITY_DN5630_c0_g1_i7	1741	1575.14	0	0
TRINITY_DN5630_c0_g1_i8	1797	1631.14	0	0
TRINITY_DN5630_c0_g1_i9	1744	1578.14	0	0
TRINITY_DN5664_c0_g1_i1	1213	1047.14	0	0
TRINITY_DN5664_c0_g1_i2	1281	1115.14	0	0
TRINITY_DN5664_c0_g2_i1	810	644.14	0	0
TRINITY_DN5668_c0_g1_i1	1528	1362.14	0	0
TRINITY_DN5668_c0_g1_i2	1534	1368.14	0	0
TRINITY_DN5668_c0_g1_i3	1592	1426.14	0	0
TRINITY_DN5668_c0_g1_i4	1470	1304.14	6	4.75937
TRINITY_DN5613_c0_g1_i1	919	753.14	0	0
TRINITY_DN5613_c0_g1_i2	1009	843.14	0	0
TRINITY_DN5613_c0_g1_i3	966	800.14	0	0
TRINITY_DN5613_c0_g1_i4	981	815.14	0	0
TRINITY_DN5613_c0_g1_i5	962	796.14	0	0
TRINITY_DN5613_c0_g1_i6	908	742.14	0	0
TRINITY_DN5613_c0_g1_i7	1028	862.14	0	0
TRINITY_DN5613_c0_g1_i8	947	781.14	0	0
TRINITY_DN5613_c0_g1_i9	889	723.14	0	0
TRINITY_DN5613_c0_g1_i10	970	804.14	0	0
TRINITY_DN5613_c0_g1_i11	900	734.14	0	0
TRINITY_DN5613_c0_g1_i12	951	785.14	0	0
TRINITY_DN5644_c0_g1_i1	1117	951.14	0	0
TRINITY_DN5644_c0_g1_i2	1122	956.14	0	0
TRINITY_DN5644_c0_g1_i3	1171	1005.14	0	0
TRINITY_DN5644_c0_g1_i4	1149	983.14	0	0
TRINITY_DN5644_c0_g1_i5	1198	1032.14	0	0
TRINITY_DN5644_c0_g2_i1	813	647.14	0	0
TRINITY_DN5644_c0_g2_i2	874	708.14	0	0
TRINITY_DN5644_c0_g2_i3	927	761.14	0	0
TRINITY_DN5614_c0_g1_i1	211	75.7004	0	0
TRINITY_DN5614_c1_g1_i1	261	105.28	0	0
TRINITY_DN5614_c1_g2_i1	587	421.14	0	0
TRINITY_DN5614_c1_g2_i2	636	470.14	0	0
TRINITY_DN5614_c2_g1_i1	895	729.14	0	0
TRINITY_DN5651_c0_g1_i1	1236	1070.14	0	0
TRINITY_DN5651_c0_g1_i2	1250	1084.14	0	0
TRINITY_DN5651_c0_g1_i3	1139	973.14	0	0
TRINITY_DN5651_c0_g1_i4	1304	1138.14	0	0
TRINITY_DN5651_c0_g1_i5	1125	959.14	0	0
TRINITY_DN5651_c0_g1_i6	1222	1056.14	0	0
TRINITY_DN5651_c0_g2_i1	252	98.8377	0	0
TRINITY_DN5669_c0_g1_i1	2302	2136.14	0	0
TRINITY_DN5669_c0_g1_i2	2420	2254.14	0	0
TRINITY_DN5669_c0_g1_i3	2426	2260.14	0	0
TRINITY_DN5669_c0_g1_i4	2420	2254.14	0	0
TRINITY_DN5669_c0_g1_i5	2362	2196.14	0	0
TRINITY_DN5669_c0_g1_i6	2366	2200.14	0	0
TRINITY_DN5669_c0_g1_i7	2356	2190.14	0	0
TRINITY_DN5669_c0_g1_i8	2356	2190.14	0	0
TRINITY_DN5669_c0_g1_i9	786	620.14	0	0
TRINITY_DN5673_c0_g1_i1	871	705.14	0	0
TRINITY_DN5673_c0_g1_i2	921	755.14	0	0
TRINITY_DN5673_c0_g1_i3	764	598.14	1	1.7295
TRINITY_DN5692_c0_g1_i1	5107	4941.14	0.999978	0.209356
TRINITY_DN5692_c0_g2_i1	5160	4994.14	2.15776e-05	4.46956e-06
TRINITY_DN5692_c1_g1_i1	1230	1064.14	0	0
TRINITY_DN5692_c1_g2_i1	1282	1116.14	0	0
TRINITY_DN5692_c2_g1_i1	694	528.14	0	0
TRINITY_DN5692_c2_g2_i1	636	470.14	0	0
TRINITY_DN5692_c3_g1_i1	1677	1511.14	0	0
TRINITY_DN5692_c3_g1_i2	1727	1561.14	0	0
TRINITY_DN5692_c3_g1_i3	1744	1578.14	0	0
TRINITY_DN5692_c3_g1_i4	1722	1556.14	0	0
TRINITY_DN5612_c0_g1_i1	2983	2817.14	0	0
TRINITY_DN5612_c0_g1_i2	2929	2763.14	0	0
TRINITY_DN5612_c0_g1_i3	2969	2803.14	0	0
TRINITY_DN5612_c0_g1_i4	2304	2138.14	0	0
TRINITY_DN5612_c0_g1_i5	3023	2857.14	0	0
TRINITY_DN5612_c0_g1_i6	2980	2814.14	0	0
TRINITY_DN5612_c0_g1_i7	2355	2189.14	0	0
TRINITY_DN5612_c0_g1_i8	2918	2752.14	0	0
TRINITY_DN5612_c0_g1_i9	2912	2746.14	0	0
TRINITY_DN5612_c0_g1_i10	2972	2806.14	0	0
TRINITY_DN5612_c0_g1_i11	3034	2868.14	0	0
TRINITY_DN5620_c0_g1_i1	6060	5894.14	0	0
TRINITY_DN5620_c0_g1_i2	6109	5943.14	0	0
TRINITY_DN5654_c0_g1_i1	4791	4625.14	0	0
TRINITY_DN5654_c0_g1_i2	4724	4558.14	0	0
TRINITY_DN5665_c0_g1_i1	1263	1097.14	0	0
TRINITY_DN5665_c0_g1_i2	1201	1035.14	0	0
TRINITY_DN5665_c0_g1_i3	1154	988.14	0	0
TRINITY_DN5665_c0_g1_i4	1216	1050.14	0	0
TRINITY_DN5665_c0_g1_i5	1280	1114.14	0	0
TRINITY_DN5665_c0_g1_i6	1327	1161.14	0	0
TRINITY_DN5608_c0_g1_i1	3972	3806.14	6.46172e-06	1.75625e-06
TRINITY_DN5608_c0_g1_i2	4116	3950.14	0	0
TRINITY_DN5608_c0_g1_i3	3988	3822.14	9.45723e-08	2.55965e-08
TRINITY_DN5608_c0_g1_i4	4051	3885.14	0	0
TRINITY_DN5608_c0_g1_i5	3923	3757.14	2.99999	0.826011
TRINITY_DN5608_c0_g1_i6	4170	4004.14	0	0
TRINITY_DN5697_c0_g1_i1	4619	4453.14	0	0
TRINITY_DN5697_c0_g1_i2	4667	4501.14	0	0
TRINITY_DN5697_c0_g1_i3	1186	1020.14	0	0
TRINITY_DN5697_c0_g1_i4	485	320.531	1	3.2274
TRINITY_DN5697_c0_g1_i5	4204	4038.14	0	0
TRINITY_DN5621_c0_g1_i1	1181	1015.14	2	2.03811
TRINITY_DN5621_c0_g1_i2	1248	1082.14	0	0
TRINITY_DN5621_c0_g2_i1	1944	1778.14	0	0
TRINITY_DN5621_c0_g2_i2	1952	1786.14	0	0
TRINITY_DN5621_c0_g2_i3	1893	1727.14	0	0
TRINITY_DN5621_c0_g2_i4	1944	1778.14	0	0
TRINITY_DN5600_c0_g1_i1	2110	1944.14	0	0
TRINITY_DN5600_c0_g1_i2	315	153.415	0	0
TRINITY_DN5600_c0_g1_i3	2113	1947.14	0	0
TRINITY_DN5600_c0_g1_i4	2058	1892.14	1	0.546726
TRINITY_DN5600_c1_g1_i1	782	616.14	0	0
TRINITY_DN5600_c1_g1_i2	724	558.14	0	0
TRINITY_DN5600_c1_g1_i3	3111	2945.14	0	0
TRINITY_DN5600_c1_g1_i4	522	356.14	0	0
TRINITY_DN5600_c1_g1_i5	3053	2887.14	0	0
TRINITY_DN5600_c1_g2_i1	976	810.14	0	0
TRINITY_DN5600_c1_g3_i1	239	91.6899	0	0
TRINITY_DN5670_c0_g1_i1	1686	1520.14	0	0
TRINITY_DN5670_c0_g1_i2	1640	1474.14	0	0
TRINITY_DN5670_c0_g1_i3	1465	1299.14	0	0
TRINITY_DN5670_c0_g1_i4	1585	1419.14	0	0
TRINITY_DN5670_c0_g2_i1	365	203.415	0	0
TRINITY_DN5643_c0_g1_i1	326	164.415	0	0
TRINITY_DN5643_c0_g2_i1	358	196.415	0	0
TRINITY_DN5672_c0_g1_i1	4431	4265.14	0	0
TRINITY_DN5672_c0_g1_i2	1433	1267.14	0	0
TRINITY_DN5672_c0_g1_i3	4478	4312.14	0	0
TRINITY_DN5672_c0_g1_i4	1328	1162.14	0	0
TRINITY_DN5672_c0_g1_i5	752	586.14	8	14.1192
TRINITY_DN5672_c0_g1_i6	910	744.14	0	0
TRINITY_DN5695_c0_g1_i1	915	749.14	0	0
TRINITY_DN5695_c0_g1_i2	968	802.14	0	0
TRINITY_DN5695_c0_g1_i3	863	697.14	0	0
TRINITY_DN5695_c0_g1_i4	964	798.14	0	0
TRINITY_DN5695_c0_g1_i5	971	805.14	0	0
TRINITY_DN5647_c0_g1_i1	1386	1220.14	0	0
TRINITY_DN5647_c0_g1_i2	373	211.415	0	0
TRINITY_DN5647_c0_g1_i3	1325	1159.14	0	0
TRINITY_DN5690_c0_g1_i1	1058	892.14	0	0
TRINITY_DN5690_c0_g1_i2	586	420.14	0	0
TRINITY_DN5690_c0_g1_i3	1112	946.14	0	0
TRINITY_DN5690_c0_g1_i4	809	643.14	39	62.7309
TRINITY_DN5690_c0_g1_i5	337	175.415	0	0
TRINITY_DN5650_c0_g1_i1	1218	1052.14	0	0
TRINITY_DN5650_c0_g1_i2	1103	937.14	0	0
TRINITY_DN5650_c0_g1_i3	1260	1094.14	0	0
TRINITY_DN5650_c0_g1_i4	1207	1041.14	0	0
TRINITY_DN5650_c0_g1_i5	1164	998.14	0	0
TRINITY_DN5650_c0_g1_i6	1156	990.14	0	0
TRINITY_DN5650_c0_g1_i7	427	262.531	0	0
TRINITY_DN5685_c0_g1_i1	803	637.14	0	0
TRINITY_DN5685_c0_g2_i1	1871	1705.14	0	0
TRINITY_DN5685_c0_g2_i2	1929	1763.14	0	0
TRINITY_DN5685_c0_g3_i1	1881	1715.14	0	0
TRINITY_DN5685_c0_g3_i2	1930	1764.14	0	0
TRINITY_DN5634_c0_g1_i1	3076	2910.14	0	0
TRINITY_DN5634_c0_g1_i2	3127	2961.14	0	0
TRINITY_DN5634_c0_g1_i3	3064	2898.14	0	0
TRINITY_DN5634_c0_g1_i4	3016	2850.14	0	0
TRINITY_DN5634_c0_g1_i5	2534	2368.14	0	0
TRINITY_DN5634_c0_g1_i6	3175	3009.14	0	0
TRINITY_DN5649_c0_g1_i1	259	103.405	0	0
TRINITY_DN5649_c0_g2_i1	231	86.1986	0	0
TRINITY_DN5649_c0_g3_i1	328	166.415	0	0
TRINITY_DN5604_c0_g1_i1	371	209.415	0	0
TRINITY_DN5604_c0_g2_i1	307	146.201	0	0
TRINITY_DN5604_c0_g3_i1	307	146.201	0	0
TRINITY_DN5604_c0_g3_i2	293	136.438	0	0
TRINITY_DN5617_c0_g1_i1	2356	2190.14	0	0
TRINITY_DN5617_c0_g1_i2	2410	2244.14	0	0
TRINITY_DN5617_c0_g1_i3	2305	2139.14	0	0
TRINITY_DN5617_c0_g2_i1	3465	3299.14	0	0
TRINITY_DN5617_c0_g2_i2	3514	3348.14	0	0
TRINITY_DN5618_c0_g1_i1	1049	883.14	0	0
TRINITY_DN5618_c0_g1_i2	1149	983.14	0	0
TRINITY_DN5618_c0_g1_i3	1251	1085.14	0	0
TRINITY_DN5618_c0_g1_i4	997	831.14	0	0
TRINITY_DN5618_c0_g1_i5	1201	1035.14	0	0
TRINITY_DN5618_c0_g1_i6	1199	1033.14	0	0
TRINITY_DN5645_c0_g1_i1	314	152.415	0	0
TRINITY_DN5645_c1_g1_i1	254	98.4047	0	0
TRINITY_DN5645_c1_g2_i1	262	106.28	0	0
TRINITY_DN5645_c1_g3_i1	1701	1535.14	2	1.34774
TRINITY_DN5645_c1_g3_i2	933	767.14	0	0
TRINITY_DN5679_c0_g1_i1	3327	3161.14	0	0
TRINITY_DN5679_c0_g1_i2	3384	3218.14	0	0
TRINITY_DN5679_c0_g1_i3	3434	3268.14	0	0
TRINITY_DN5679_c0_g1_i4	3326	3160.14	0	0
TRINITY_DN5679_c0_g1_i5	3376	3210.14	0	0
TRINITY_DN5679_c0_g1_i6	427	262.531	0	0
TRINITY_DN5679_c0_g1_i7	3269	3103.14	0	0
TRINITY_DN5679_c0_g1_i8	3377	3211.14	0	0
TRINITY_DN5679_c0_g1_i9	3319	3153.14	0	0
TRINITY_DN5648_c0_g1_i1	732	566.14	0	0
TRINITY_DN5648_c0_g2_i1	782	616.14	0	0
TRINITY_DN5648_c0_g2_i2	857	691.14	0	0
TRINITY_DN5648_c0_g3_i1	665	499.14	0	0
TRINITY_DN5648_c0_g4_i1	720	554.14	0	0
TRINITY_DN5677_c0_g1_i1	227	84.8891	0	0
TRINITY_DN5677_c0_g2_i1	750	584.14	0	0
TRINITY_DN5677_c0_g2_i2	669	503.14	0	0
TRINITY_DN5677_c0_g2_i3	488	323.531	0	0
TRINITY_DN5677_c0_g2_i4	545	379.14	0	0
TRINITY_DN5677_c0_g2_i5	559	393.14	0	0
TRINITY_DN5677_c1_g1_i1	308	146.415	0	0
TRINITY_DN5641_c0_g1_i1	5790	5624.14	0	0
TRINITY_DN5641_c0_g1_i2	5843	5677.14	0	0
TRINITY_DN5641_c0_g1_i3	5787	5621.14	0	0
TRINITY_DN5641_c0_g1_i4	4570	4404.14	0	0
TRINITY_DN5641_c0_g1_i5	5722	5556.14	0	0
TRINITY_DN5641_c0_g1_i6	5669	5503.14	0	0
TRINITY_DN5641_c0_g1_i7	5734	5568.14	0	0
TRINITY_DN5641_c0_g1_i8	759	593.14	0	0
TRINITY_DN5641_c0_g2_i1	559	393.14	0	0
TRINITY_DN5632_c0_g1_i1	1924	1758.14	0	0
TRINITY_DN5632_c0_g1_i2	2038	1872.14	0	0
TRINITY_DN5632_c0_g1_i3	1905	1739.14	0	0
TRINITY_DN5632_c0_g1_i4	1980	1814.14	0	0
TRINITY_DN5632_c0_g1_i5	1847	1681.14	0	0
TRINITY_DN5632_c0_g1_i6	1982	1816.14	0	0
TRINITY_DN5632_c0_g1_i7	1903	1737.14	0	0
TRINITY_DN5632_c0_g1_i8	1144	978.14	0	0
TRINITY_DN5696_c0_g1_i1	2397	2231.14	0	0
TRINITY_DN5696_c0_g1_i2	2323	2157.14	0	0
TRINITY_DN5696_c0_g1_i3	2446	2280.14	0	0
TRINITY_DN5696_c0_g2_i1	801	635.14	0	0
TRINITY_DN5696_c0_g3_i1	400	236.562	0	0
TRINITY_DN5640_c0_g1_i1	2071	1905.14	0	0
TRINITY_DN5640_c0_g1_i2	2142	1976.14	0	0
TRINITY_DN5640_c0_g1_i3	2149	1983.14	0	0
TRINITY_DN5640_c0_g1_i4	2097	1931.14	0	0
TRINITY_DN5640_c0_g1_i5	2026	1860.14	0	0
TRINITY_DN5640_c0_g1_i6	1901	1735.14	0	0
TRINITY_DN5640_c0_g2_i1	3997	3831.14	0	0
TRINITY_DN5640_c0_g2_i2	4045	3879.14	0	0
TRINITY_DN5624_c0_g1_i1	448	283.531	0	0
TRINITY_DN5624_c0_g2_i1	948	782.14	0	0
TRINITY_DN5624_c0_g2_i2	892	726.14	0	0
TRINITY_DN5624_c0_g2_i3	1002	836.14	0	0
TRINITY_DN5624_c0_g2_i4	949	783.14	0	0
TRINITY_DN5624_c0_g2_i5	945	779.14	0	0
TRINITY_DN5624_c0_g3_i1	244	93.909	0	0
TRINITY_DN5666_c0_g1_i1	601	435.14	0	0
TRINITY_DN5666_c0_g1_i2	1184	1018.14	2	2.0321
TRINITY_DN5666_c0_g1_i3	1275	1109.14	0	0
TRINITY_DN5666_c1_g1_i1	2746	2580.14	0	0
TRINITY_DN5666_c1_g1_i2	2860	2694.14	0	0
TRINITY_DN5666_c1_g1_i3	2299	2133.14	0	0
TRINITY_DN5666_c1_g1_i4	2814	2648.14	0	0
TRINITY_DN5666_c1_g1_i5	2792	2626.14	0	0
TRINITY_DN5660_c0_g1_i1	404	240.562	0	0
TRINITY_DN5660_c0_g1_i2	361	199.415	0	0
TRINITY_DN5660_c0_g2_i1	209	75.9806	0	0
TRINITY_DN5660_c0_g3_i1	272	115.438	0	0
TRINITY_DN5660_c0_g4_i1	260	104.28	0	0
TRINITY_DN5660_c0_g4_i2	281	124.438	0	0
TRINITY_DN5657_c0_g1_i1	1301	1135.14	0	0
TRINITY_DN5657_c0_g1_i2	1232	1066.14	0	0
TRINITY_DN5657_c0_g1_i3	1236	1070.14	0	0
TRINITY_DN5657_c0_g1_i4	1242	1076.14	0	0
TRINITY_DN5657_c0_g1_i5	1182	1016.14	7	7.12635
TRINITY_DN5671_c0_g1_i1	1513	1347.14	0	0
TRINITY_DN5671_c0_g1_i2	1563	1397.14	0	0
TRINITY_DN5671_c0_g1_i3	1227	1061.14	0	0
TRINITY_DN5671_c0_g1_i4	1460	1294.14	0	0
TRINITY_DN5671_c0_g1_i5	1510	1344.14	0	0
TRINITY_DN5619_c0_g1_i1	1418	1252.14	0	0
TRINITY_DN5619_c0_g1_i2	1473	1307.14	0	0
TRINITY_DN5619_c0_g1_i3	1083	917.14	0	0
TRINITY_DN5619_c1_g1_i1	1116	950.14	1	1.08877
TRINITY_DN5619_c1_g2_i1	1784	1618.14	0	0
TRINITY_DN5619_c1_g2_i2	1892	1726.14	0	0
TRINITY_DN5601_c0_g1_i1	2212	2046.14	0	0
TRINITY_DN5601_c0_g1_i2	2138	1972.14	0	0
TRINITY_DN5601_c0_g1_i3	2269	2103.14	0	0
TRINITY_DN5601_c0_g1_i4	2195	2029.14	0	0
TRINITY_DN5601_c0_g2_i1	2280	2114.14	0	0
TRINITY_DN5601_c0_g2_i2	2026	1860.14	0	0
TRINITY_DN5601_c0_g2_i3	2335	2169.14	0	0
TRINITY_DN5601_c0_g2_i4	2326	2160.14	0	0
TRINITY_DN5683_c0_g1_i1	661	495.14	0	0
TRINITY_DN5683_c0_g2_i1	320	158.415	0	0
TRINITY_DN5683_c1_g1_i1	249	96.5145	0	0
TRINITY_DN5683_c2_g1_i1	236	89.4032	0	0
TRINITY_DN5683_c2_g2_i1	261	105.28	0	0
TRINITY_DN5683_c2_g2_i2	321	159.415	0	0
TRINITY_DN5683_c2_g3_i1	202	72.8894	0	0
TRINITY_DN5683_c3_g1_i1	284	127.438	0	0
TRINITY_DN5683_c3_g2_i1	276	119.438	0	0
TRINITY_DN5683_c3_g3_i1	223	82.6733	0	0
TRINITY_DN5683_c3_g4_i1	284	127.438	0	0
TRINITY_DN5682_c0_g1_i1	408	244.47	0	0
TRINITY_DN5682_c0_g2_i1	2485	2319.14	0	0
TRINITY_DN5682_c0_g2_i2	1675	1509.14	0	0
TRINITY_DN5682_c0_g2_i3	2343	2177.14	0	0
TRINITY_DN5682_c0_g2_i4	2280	2114.14	0	0
TRINITY_DN5682_c0_g2_i5	2422	2256.14	0	0
TRINITY_DN5646_c0_g1_i1	1102	936.14	0	0
TRINITY_DN5646_c0_g1_i2	1159	993.14	0	0
TRINITY_DN5646_c0_g1_i3	3513	3347.14	0	0
TRINITY_DN5646_c0_g1_i4	1111	945.14	0	0
TRINITY_DN5646_c0_g1_i5	1054	888.14	0	0
TRINITY_DN5646_c0_g1_i6	3571	3405.14	0	0
TRINITY_DN5646_c0_g1_i7	280	123.438	0	0
TRINITY_DN5646_c0_g1_i8	3456	3290.14	0	0
TRINITY_DN5646_c0_g1_i9	3514	3348.14	0	0
TRINITY_DN5658_c0_g1_i1	646	480.14	0	0
TRINITY_DN5658_c0_g1_i2	774	608.14	0	0
TRINITY_DN5658_c0_g1_i3	624	458.14	0	0
TRINITY_DN5658_c0_g1_i4	832	666.14	0	0
TRINITY_DN5658_c0_g1_i5	707	541.14	0	0
TRINITY_DN5658_c0_g2_i1	277	120.438	0	0
TRINITY_DN5678_c0_g1_i1	2249	2083.14	0	0
TRINITY_DN5678_c0_g1_i2	2185	2019.14	0	0
TRINITY_DN5678_c0_g1_i3	1634	1468.14	0	0
TRINITY_DN5678_c0_g1_i4	1580	1414.14	0	0
TRINITY_DN5678_c0_g1_i5	2124	1958.14	0	0
TRINITY_DN5678_c0_g1_i6	1698	1532.14	0	0
TRINITY_DN5642_c0_g1_i1	1875	1709.14	0	0
TRINITY_DN5642_c0_g1_i2	1416	1250.14	0	0
TRINITY_DN5642_c0_g1_i3	1479	1313.14	0	0
TRINITY_DN5642_c0_g1_i4	1938	1772.14	0	0
TRINITY_DN5642_c0_g2_i1	516	350.14	0	0
TRINITY_DN5606_c0_g1_i1	1384	1218.14	0	0
TRINITY_DN5606_c0_g2_i1	1334	1168.14	0	0
TRINITY_DN5606_c1_g1_i1	215	76.3255	0	0
TRINITY_DN5606_c2_g1_i1	1235	1069.14	0	0
TRINITY_DN5606_c2_g2_i1	869	703.14	0	0
TRINITY_DN5606_c2_g1_i2	1151	985.14	0	0
TRINITY_DN5606_c2_g3_i1	561	395.14	0	0
TRINITY_DN5606_c2_g3_i2	575	409.14	0	0
TRINITY_DN5606_c2_g4_i1	340	178.415	0	0
TRINITY_DN5606_c2_g5_i1	408	244.47	0	0
TRINITY_DN5606_c2_g6_i1	705	539.14	0	0
TRINITY_DN5663_c0_g1_i1	2640	2474.14	0	0
TRINITY_DN5663_c0_g1_i2	2403	2237.14	0	0
TRINITY_DN5663_c0_g1_i3	2458	2292.14	0	0
TRINITY_DN5663_c0_g1_i4	2515	2349.14	0	0
TRINITY_DN5638_c0_g1_i1	2090	1924.14	0	0
